Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
Contoso Ltd,88,54.9%,6.5,2.7,,2025-03-30 00:00:00
Contoso Ltd,88,59.9%,7.0,3.2,,2025-04-06 00:00:00
Contoso Ltd,89,80.7%,11.8,3.0,,2025-04-13 00:00:00
Contoso Ltd,89,79.6%,12.2,3.4,,2025-04-20 00:00:00
Contoso Ltd,90,77.0%,16.6,2.8,,2025-04-27 00:00:00
Contoso Ltd,90,68.0%,15.2,2.6,,2025-05-04 00:00:00
Contoso Ltd,91,80.3%,14.9,3.1,,2025-05-11 00:00:00
Contoso Ltd,91,83.5%,15.9,2.5,,2025-05-18 00:00:00
Contoso Ltd,92,84.5%,16.3,3.1,,2025-05-25 00:00:00
Contoso Ltd,93,72.8%,15.5,2.4,,2025-06-01 00:00:00
Contoso Ltd,93,79.8%,13.0,3.1,,2025-06-08 00:00:00
Contoso Ltd,94,74.6%,12.3,2.9,10.2%,2025-06-15 00:00:00
Contoso Ltd,94,68.7%,15.9,3.1,13.7%,2025-06-22 00:00:00
Contoso Ltd,95,64.4%,12.7,2.4,13.3%,2025-06-29 00:00:00
Contoso Ltd,95,75.7%,14.3,3.3,12.0%,2025-07-06 00:00:00
Contoso Ltd,96,78.8%,16.0,2.8,13.5%,2025-07-13 00:00:00
Contoso Ltd,97,74.8%,16.8,3.2,8.5%,2025-07-20 00:00:00
Contoso Ltd,97,62.9%,12.6,2.4,14.4%,2025-07-27 00:00:00
Contoso Ltd,98,59.6%,17.7,2.7,13.4%,2025-08-03 00:00:00
Contoso Ltd,98,70.6%,14.7,2.4,13.8%,2025-08-10 00:00:00
Contoso Ltd,99,63.4%,13.3,2.7,17.3%,2025-08-17 00:00:00
Contoso Ltd,99,78.8%,14.4,2.5,15.1%,2025-08-24 00:00:00
Contoso Ltd,100,68.7%,14.3,2.5,10.7%,2025-08-31 00:00:00
Contoso Ltd,100,71.1%,18.0,2.9,10.3%,2025-09-07 00:00:00
Contoso Ltd,101,56.9%,13.8,3.0,14.3%,2025-09-14 00:00:00
Contoso Ltd,102,83.9%,14.1,3.0,12.4%,2025-09-21 00:00:00
Contoso Ltd,102,75.7%,17.9,2.2,14.2%,2025-09-28 00:00:00
Contoso Ltd,103,71.2%,12.9,3.3,8.0%,2025-10-05 00:00:00
Contoso Ltd,103,80.0%,15.0,2.4,11.8%,2025-10-12 00:00:00
Contoso Ltd,104,68.9%,13.0,3.2,13.5%,2025-10-19 00:00:00
Contoso Ltd,104,67.8%,15.8,2.4,13.8%,2025-10-26 00:00:00
Contoso Ltd,105,71.5%,13.8,3.2,13.8%,2025-11-02 00:00:00
Contoso Ltd,106,64.7%,14.8,3.0,16.6%,2025-11-09 00:00:00
Contoso Ltd,106,58.6%,14.6,2.2,9.5%,2025-11-16 00:00:00
Contoso Ltd,107,59.4%,15.8,2.3,13.7%,2025-11-23 00:00:00
Contoso Ltd,107,81.3%,16.6,2.9,9.7%,2025-11-30 00:00:00
Contoso Ltd,108,85.6%,14.3,3.3,9.0%,2025-12-07 00:00:00
Contoso Ltd,108,83.6%,12.7,3.3,15.8%,2025-12-14 00:00:00
Contoso Ltd,109,81.1%,16.4,3.1,11.5%,2025-12-21 00:00:00
Contoso Ltd,109,57.0%,15.0,2.9,9.3%,2025-12-28 00:00:00
Contoso Ltd,110,72.2%,14.9,2.8,10.0%,2026-01-04 00:00:00
Contoso Ltd,111,64.4%,17.1,2.9,8.3%,2026-01-11 00:00:00
Contoso Ltd,111,76.8%,16.6,3.0,8.4%,2026-01-18 00:00:00
Contoso Ltd,112,72.3%,17.9,2.2,10.2%,2026-01-25 00:00:00
Contoso Ltd,112,79.0%,17.8,2.6,16.8%,2026-02-01 00:00:00
Contoso Ltd,113,80.9%,17.2,2.3,11.4%,2026-02-08 00:00:00
Contoso Ltd,113,60.1%,14.0,3.1,8.8%,2026-02-15 00:00:00
Contoso Ltd,114,49.1%,11.4,3.0,12.4%,2026-02-22 00:00:00
Contoso Ltd,115,56.3%,13.9,2.4,15.4%,2026-03-01 00:00:00
Fabrikam Industries,191,46.0%,9.0,2.2,,2025-03-30 00:00:00
Fabrikam Industries,191,53.9%,7.5,2.4,,2025-04-06 00:00:00
Fabrikam Industries,192,62.6%,10.9,2.6,,2025-04-13 00:00:00
Fabrikam Industries,193,86.1%,11.0,2.2,,2025-04-20 00:00:00
Fabrikam Industries,194,69.5%,13.1,3.0,,2025-04-27 00:00:00
Fabrikam Industries,194,61.1%,13.0,2.9,,2025-05-04 00:00:00
Fabrikam Industries,195,71.4%,15.1,2.7,,2025-05-11 00:00:00
Fabrikam Industries,196,63.2%,12.2,2.8,,2025-05-18 00:00:00
Fabrikam Industries,197,87.0%,14.1,3.3,,2025-05-25 00:00:00
Fabrikam Industries,198,67.1%,15.5,3.1,,2025-06-01 00:00:00
Fabrikam Industries,198,66.4%,13.9,3.3,,2025-06-08 00:00:00
Fabrikam Industries,199,77.2%,16.6,2.9,10.5%,2025-06-15 00:00:00
Fabrikam Industries,200,69.3%,13.3,2.3,8.8%,2025-06-22 00:00:00
Fabrikam Industries,201,78.0%,17.0,2.5,17.5%,2025-06-29 00:00:00
Fabrikam Industries,202,69.9%,15.6,2.8,14.9%,2025-07-06 00:00:00
Fabrikam Industries,202,83.8%,15.1,3.2,15.5%,2025-07-13 00:00:00
Fabrikam Industries,203,73.2%,14.4,2.2,17.6%,2025-07-20 00:00:00
Fabrikam Industries,204,83.8%,16.5,3.0,9.0%,2025-07-27 00:00:00
Fabrikam Industries,205,80.9%,17.8,2.8,10.8%,2025-08-03 00:00:00
Fabrikam Industries,206,79.7%,17.2,2.3,14.8%,2025-08-10 00:00:00
Fabrikam Industries,206,80.2%,12.5,2.8,14.5%,2025-08-17 00:00:00
Fabrikam Industries,207,76.0%,14.0,3.1,17.9%,2025-08-24 00:00:00
Fabrikam Industries,208,71.8%,17.8,2.4,13.6%,2025-08-31 00:00:00
Fabrikam Industries,209,83.3%,16.5,3.0,12.5%,2025-09-07 00:00:00
Fabrikam Industries,210,80.2%,14.5,2.7,15.2%,2025-09-14 00:00:00
Fabrikam Industries,210,64.8%,14.7,3.0,13.3%,2025-09-21 00:00:00
Fabrikam Industries,211,81.7%,13.2,3.0,11.9%,2025-09-28 00:00:00
Fabrikam Industries,212,59.8%,12.7,3.0,17.0%,2025-10-05 00:00:00
Fabrikam Industries,213,82.0%,12.9,3.2,15.6%,2025-10-12 00:00:00
Fabrikam Industries,213,65.8%,13.0,2.6,13.2%,2025-10-19 00:00:00
Fabrikam Industries,214,68.8%,16.3,3.0,9.2%,2025-10-26 00:00:00
Fabrikam Industries,215,76.5%,12.2,3.1,8.2%,2025-11-02 00:00:00
Fabrikam Industries,216,69.8%,12.1,2.3,14.7%,2025-11-09 00:00:00
Fabrikam Industries,217,66.8%,13.0,2.9,17.4%,2025-11-16 00:00:00
Fabrikam Industries,217,77.7%,17.7,2.6,10.8%,2025-11-23 00:00:00
Fabrikam Industries,218,74.4%,14.3,2.5,13.4%,2025-11-30 00:00:00
Fabrikam Industries,219,78.0%,16.3,3.0,12.1%,2025-12-07 00:00:00
Fabrikam Industries,220,74.8%,15.0,3.1,11.6%,2025-12-14 00:00:00
Fabrikam Industries,221,59.4%,15.1,2.7,10.1%,2025-12-21 00:00:00
Fabrikam Industries,221,60.4%,16.2,2.8,16.2%,2025-12-28 00:00:00
Fabrikam Industries,222,83.6%,16.8,3.3,17.1%,2026-01-04 00:00:00
Fabrikam Industries,223,83.7%,14.1,3.4,16.9%,2026-01-11 00:00:00
Fabrikam Industries,224,83.1%,16.5,2.9,13.2%,2026-01-18 00:00:00
Fabrikam Industries,225,81.6%,15.9,3.3,10.7%,2026-01-25 00:00:00
Fabrikam Industries,225,62.4%,18.7,2.8,10.3%,2026-02-01 00:00:00
Fabrikam Industries,226,63.2%,18.8,2.4,11.5%,2026-02-08 00:00:00
Fabrikam Industries,227,49.0%,12.8,2.5,18.0%,2026-02-15 00:00:00
Fabrikam Industries,228,52.8%,11.6,2.9,13.9%,2026-02-22 00:00:00
Fabrikam Industries,229,54.9%,13.5,2.9,13.6%,2026-03-01 00:00:00
Adventure Works,250,49.8%,8.4,3.1,,2025-03-30 00:00:00
Adventure Works,251,65.0%,9.1,2.6,,2025-04-06 00:00:00
Adventure Works,252,70.9%,11.7,2.9,,2025-04-13 00:00:00
